"Department","Department Name","Division","Gender","Base Salary","2024 Overtime Pay","2024 Longevity Pay","Grade"
"DGS","Department of General Services","DGS 36 Facilities Maintenance","M","$63,282.62","$12,469.77","$0","15"
"PIO","Office of Public Information","PIO 23 Director's Office","M","$119,787.31","$0","$0","N25"
"CUS","Community Use of Public Facilities","CUS 70 Director","M","$109,350.17","$0","$0","N25"
"HHS","Department of Health and Human Services","HHS 60 School Health Services","F","$103,153.97","$0","$0","24"
"LIB","Department of Public Libraries","LIB 71 Marilyn J Praisner Library","F","$25,976.97","$0","$0","13"
"HHS","Department of Health and Human Services","HHS 60 School Health Services","F","$51,253.73","$0","$0","16"
"ABS","Alcohol Beverage Services","ABS 85 Seneca Meadows","F","$40,136.88","$364.34","$0","12"
"ABS","Alcohol Beverage Services","ABS 85 Flower Avenue","M","$25,085.55","$6.16","$0","12"
"ABS","Alcohol Beverage Services","ABS 85 Muddy Branch","M","$40,136.88","$2,962.16","$0","12"
"POL","Department of Police","POL 47 PSB 3rd District Patrol","M","$69,157","$5,103.78","$0","P2"
"POL","Department of Police","POL 47 PSB 5th District Patrol","F","$69,157","$15,903.73","$0","P2"
"POL","Department of Police","POL 47 PSB 4th District Patrol","M","$69,157","$3,718.66","$0","P2"
"SHF","Sheriff's Office","SHF 48 Court and Transport","M","$66,058","$6,601.71","$0","G2"
"POL","Department of Police","POL 47 PSB 4th District Patrol","M","$69,157","$12,297.93","$0","P2"
"POL","Department of Police","POL 47 PSB 3rd District Patrol","M","$69,157","$31,284.46","$0","P2"
"SHF","Sheriff's Office","SHF 48 Court and Transport","M","$66,058","$6,960.52","$0","G2"
"SHF","Sheriff's Office","SHF 48 Court and Transport","M","$66,058","$6,140.41","$0","G2"
"SHF","Sheriff's Office","SHF 48 Court and Transport","M","$66,058","$30,651.97","$0","G2"
"SHF","Sheriff's Office","SHF 48 Court and Transport","M","$66,058","$5,894.54","$0","G2"
"SHF","Sheriff's Office","SHF 48 Court and Transport","M","$66,058","$5,940.26","$0","G2"
"POL","Department of Police","POL 47 PSB 3rd District Patrol","M","$69,157","$2,805.58","$0","P2"
"POL","Department of Police","POL 47 PSB 4th District Patrol","M","$69,157","$4,293.73","$0","P2"
"POL","Department of Police","POL 47 PSB 2nd District Patrol","M","$69,157","$3,444.07","$0","P2"
"POL","Department of Police","POL 47 PSB 2nd District Patrol","M","$69,157","$3,677.24","$0","P2"
"POL","Department of Police","POL 47 PSB 3rd District Patrol","M","$69,157","$8,430.69","$0","P2"
"POL","Department of Police","POL 47 PSB 3rd District Community Operations","F","$69,157","$1,883.72","$0","P2"
"POL","Department of Police","POL 47 PSB 3rd District Patrol","M","$69,157","$8,128.63","$0","P2"
"POL","Department of Police","POL 47 PSB 2nd District Patrol","M","$69,157","$7,459.89","$0","P2"
"POL","Department of Police","POL 47 PSB 4th District Patrol","F","$69,157","$11,765.04","$0","P2"
"POL","Department of Police","POL 47 FSB Traffic Division School Safety Section","M","$23,435.38","$0","$0","10"
"POL","Department of Police","POL 47 MSB Personnel Division Administration","F","$100,156.85","$1,725.45","$0","N23"
"ABS","Alcohol Beverage Services","ABS 85 Olney","M","$25,085.55","$45.64","$0","12"
"LIB","Department of Public Libraries","LIB 71 Long Branch Library","F","$34,037.81","$0","$0","13"
"OAS","Office of Animal Services","OAS 38 Animal Services Division","F","$66,666.03","$1,776.12","$0","15"
"DPS","Department of Permitting Services","DPS 75 Commercial Structural and Complex Structures","M","$95,619.86","$1,416.08","$0","19"
"HHS","Department of Health and Human Services","HHS 60 Aging & Disability Services Division","F","$98,021.46","$0","$0","24"
"OAS","Office of Animal Services","OAS 38 Animal Services Division","F","$65,461.21","$686.11","$0","13"
"COR","Correction and Rehabilitation","COR 42 MSD Management Services Division","M","$157,428","$0","$0","M2"
"DEP","Department of Environmental Protection","DEP 80 Strategic Services Division","M","$117,039.17","$464.24","$0","N28"
"LIB","Department of Public Libraries","LIB 71 Chevy Chase Library","M","$53,326.04","$0","$0","13"
"DPS","Department of Permitting Services","DPS 75 Customer Support","M","$63,603.93","$0","$0","15"
"DGS","Department of General Services","DGS 36 Facilities Maintenance","F","$62,575","$4,684.41","$0","8"
"HHS","Department of Health and Human Services","HHS 60 Behavioral Health and Crisis Services Division","M","$71,564.75","$412.89","$0","18"
"HHS","Department of Health and Human Services","HHS 60 Children Youth and Family Services Division","F","$63,996.99","$0","$0","14"
"HHS","Department of Health and Human Services","HHS 60 Office of Eligibility and Support Services","F","$91,030.09","$0","$0","18"
"DOT","Department of Transportation","DOT 50 Transportation Technical Center","M","$76,687.05","$6,278.22","$0","14"
"CEX","Offices of the County Executive","CEX 15 Chief Administrative Officer's Office","F","$89,474.16","$0","$0","N18"
"HHS","Department of Health and Human Services","HHS 60 Services to End and Prevent Homelessness Division","F","$119,032","$0","$0","23"
"CCL","County Council","CCL 01 Council Central Staff","M","$84,164.38","$0","$0","N28"
"HHS","Department of Health and Human Services","HHS 60 Children Youth and Family Services Division","F","$125,453.38","$0","$0","25"
"DGS","Department of General Services","DGS 36 Fleet Automotive Heavy Equipment","M","$73,815.01","$2,349.53","$0","18"
"LIB","Department of Public Libraries","LIB 71 Brigadier General Charles E. McGee Library","F","$34,398.99","$0","$0","18"
"PIO","Office of Public Information","PIO 23 Information","F","$125,453.37","$0","$0","N25"
"LIB","Department of Public Libraries","LIB 71 Twinbrook Library","F","$26,614.98","$0","$0","13"
"POL","Department of Police","POL 47 PSB 3rd District Patrol","M","$69,157","$25,728.58","$0","P2"
"POL","Department of Police","POL 47 PSB 3rd District Patrol","M","$69,157","$3,408.59","$0","P2"
"POL","Department of Police","POL 47 PSB 5th District Patrol","M","$69,157","$822.92","$0","P2"
"FRS","Fire and Rescue Services","FRS 45 Field Recruits","M","$60,147","$0","$0","F1"
"FRS","Fire and Rescue Services","FRS 45 Station 2","M","$65,367","$5,549.81","$0","F2"
"COR","Correction and Rehabilitation","COR 42 DS Health Services","F","$127,748.26","$0","$0","26"
"HHS","Department of Health and Human Services","HHS 60 Child Welfare Services","F","$88,562.63","$0","$0","23"
"LIB","Department of Public Libraries","LIB 71 Cataloging and Preparation","F","$94,050","$0","$0","N25"
"DPS","Department of Permitting Services","DPS 75 Customer Support","F","$136,319.46","$0","$0","M3"
"CUS","Community Use of Public Facilities","CUS 70 Silver Spring Civic Building","F","$80,714.58","$0","$0","18"
"LIB","Department of Public Libraries","LIB 71 Potomac Library","F","$112,831.5","$0","$0","N25"
"CEC","Community Engagement Cluster","CEC 16 Silver Spring Urban District","F","$114,568.73","$0","$0","N25"
"ABS","Alcohol Beverage Services","ABS 85 Administration","F","$151,850.49","$0","$0","M3"
"HHS","Department of Health and Human Services","HHS 60 Behavioral Health and Crisis Services Division","F","$107,668.01","$0","$0","24"
"PIO","Office of Public Information","PIO 23 Information","F","$100,985.08","$0","$0","N25"
"COR","Correction and Rehabilitation","COR 42 DS MCCF Unit 1 Security","M","$64,592","$80,939.17","$0","C4"
"HHS","Department of Health and Human Services","HHS 60 Child Welfare Services","F","$62,344.02","$0","$0","16"
"HHS","Department of Health and Human Services","HHS 60 Children Youth and Family Services Division","F","$80,335","$0","$0","14"
"HHS","Department of Health and Human Services","HHS 60 Children Youth and Family Services Division","F","$77,081.16","$0","$0","18"
"LIB","Department of Public Libraries","LIB 71 White Oak Library","M","$28,612.3","$0","$0","13"
"CEX","Offices of the County Executive","CEX 15 Business Advancement Team","F","$114,568.48","$0","$0","N25"
"HCA","Department of Housing and Community Affairs","HCA 76 Affordable Housing Programs","M","$95,237.76","$0","$0","23"
"HHS","Department of Health and Human Services","HHS 60 Public Health Services Division","F","$82,105.06","$0","$0","16"
"HHS","Department of Health and Human Services","HHS 60 School Health Services","F","$100,898.09","$0","$0","24"
"ABS","Alcohol Beverage Services","ABS 85 Director's Office","M","$46,615.79","$0","$0","N16"
"OMB","Office of Management and Budget","OMB 31 Office of Management and Budget","F","$131,687.78","$0","$0","N28"
"FRS","Fire and Rescue Services","FRS 45 Field Recruits","M","$60,147","$361.49","$0","F1"
"POL","Department of Police","POL 47 MSB Training and Education Division","F","$28,289.4","$0","$0","10"
"FRS","Fire and Rescue Services","FRS 45 Field Recruits","M","$65,367","$108.45","$0","F2"
"FRS","Fire and Rescue Services","FRS 45 Field Operations Administration","M","$65,367","$7,861.24","$0","F2"
"FRS","Fire and Rescue Services","FRS 45 Station 2","M","$65,367","$6,000.79","$0","F2"
"FRS","Fire and Rescue Services","FRS 45 Station 12","M","$65,367","$1,727.21","$0","F2"
"FRS","Fire and Rescue Services","FRS 45 Station 25","M","$65,367","$4,504.49","$0","F2"
"FRS","Fire and Rescue Services","FRS 45 Station 23","M","$65,367","$6,733.8","$0","F2"
"FRS","Fire and Rescue Services","FRS 45 Field Recruits","M","$65,367","$12,679.52","$0","F2"
"FRS","Fire and Rescue Services","FRS 45 Field Operations Administration","M","$65,367","$2,822.05","$0","F2"
"FRS","Fire and Rescue Services","FRS 45 Station 3","F","$65,367","$2,895.59","$0","F2"
"FRS","Fire and Rescue Services","FRS 45 Station 33","M","$65,367","$3,221.37","$0","F2"
"FRS","Fire and Rescue Services","FRS 45 Station 25","M","$65,367","$5,657.76","$0","F2"
"FRS","Fire and Rescue Services","FRS 45 Field Operations Administration","M","$65,367","$2,059.16","$0","F2"
"FRS","Fire and Rescue Services","FRS 45 Station 1","M","$65,367","$104.78","$0","F2"
"FRS","Fire and Rescue Services","FRS 45 Station 23","M","$65,367","$162.78","$0","F2"
"FRS","Fire and Rescue Services","FRS 45 Station 2","M","$65,367","$5,076.39","$0","F2"
"FRS","Fire and Rescue Services","FRS 45 Station 1","M","$65,367","$144.07","$0","F2"
"FRS","Fire and Rescue Services","FRS 45 Station 31","M","$65,367","$654.75","$0","F2"
"FRS","Fire and Rescue Services","FRS 45 Station 25","M","$65,367","$104.78","$0","F2"
"FRS","Fire and Rescue Services","FRS 45 Station 23","M","$65,367","$1,421.72","$0","F2"
"FRS","Fire and Rescue Services","FRS 45 Station 25","M","$65,367","$2,097.85","$0","F2"
"FRS","Fire and Rescue Services","FRS 45 Field Operations Administration","M","$65,367","$13,747.92","$0","F2"
"FRS","Fire and Rescue Services","FRS 45 Station 25","M","$65,367","$9,711.97","$0","F2"
"FRS","Fire and Rescue Services","FRS 45 Field Operations Administration","F","$65,367","$329.26","$0","F2"
"FRS","Fire and Rescue Services","FRS 45 Station 25","M","$65,367","$26,177.23","$0","F2"
"FRS","Fire and Rescue Services","FRS 45 Station 32","M","$65,367","$2,772.55","$0","F2"
"FRS","Fire and Rescue Services","FRS 45 Field Operations Administration","M","$65,367","$2,325.44","$0","F2"
"FRS","Fire and Rescue Services","FRS 45 Station 11","M","$65,367","$4,465.27","$0","F2"
"HHS","Department of Health and Human Services","HHS 60 Office of Eligibility and Support Services","F","$91,392","$3,743.92","$0","17"
"DOT","Department of Transportation","DOT 50 Parking Management Financial Management","F","$125,071.27","$0","$0","N25"
"ABS","Alcohol Beverage Services","ABS 85 Burtonsville","M","$25,085.55","$403.17","$0","12"
"HHS","Department of Health and Human Services","HHS 60 Children Youth and Family Services Division","F","$82,997.99","$0","$0","18"
"HHS","Department of Health and Human Services","HHS 60 Office of Eligibility and Support Services","M","$85,577.18","$4,157.74","$0","17"
"DEP","Department of Environmental Protection","DEP 80 Building and Transportation Programs","M","$128,513.61","$0","$0","N27"
"DOT","Department of Transportation","DOT 50 Parking Management Financial Management","F","$82,615.89","$171.06","$0","16"
"COR","Correction and Rehabilitation","COR 42 DS MCCF Unit 3 Security","M","$64,592","$26,963.37","$0","C4"
"HHS","Department of Health and Human Services","HHS 60 Services to End and Prevent Homelessness Division","F","$62,344.02","$4,061.95","$0","16"
"HHS","Department of Health and Human Services","HHS 60 Office of Eligibility and Support Services","F","$62,344.01","$585.22","$0","17"
"DOT","Department of Transportation","DOT 50 Transit Services Information Technology","M","$124,814.26","$0","$0","N28"
"HHS","Department of Health and Human Services","HHS 60 Office of Eligibility and Support Services","F","$64,638.91","$1,200.09","$0","17"
"HHS","Department of Health and Human Services","HHS 60 Office of Eligibility and Support Services","F","$72,671","$0","$0","17"
"HHS","Department of Health and Human Services","HHS 60 Office of Eligibility and Support Services","F","$68,729.33","$2,001.49","$0","17"
"HHS","Department of Health and Human Services","HHS 60 Office of Eligibility and Support Services","F","$62,344.01","$630.59","$0","17"
"REC","Department of Recreation","REC 72 Youth Development Youth Services","F","$79,138.99","$0","$0","21"
"LIB","Department of Public Libraries","LIB 71 Wheaton Library","F","$25,182.5","$0","$0","8"
"ABS","Alcohol Beverage Services","ABS 85 Westwood","M","$25,085.55","$34.6","$0","12"
"OAS","Office of Animal Services","OAS 38 Animal Services Division","F","$131,955.93","$0","$0","N29"
"POL","Department of Police","POL 47 MSB Communications Division","F","$61,365.58","$11,181.26","$0","17"
"ABS","Alcohol Beverage Services","ABS 85 Muddy Branch","F","$40,136.88","$267.32","$0","12"
"HHS","Department of Health and Human Services","HHS 60 Office of Eligibility and Support Services","F","$68,729.32","$2,099.05","$0","17"
"HHS","Department of Health and Human Services","HHS 60 Services to End and Prevent Homelessness Division","F","$68,729.33","$1,201.32","$0","16"
"POL","Department of Police","POL 47 MSB Communications Division","F","$61,365.58","$17,173.29","$0","17"
"HHS","Department of Health and Human Services","HHS 60 Behavioral Health and Crisis Services Division","F","$94,816.65","$6,417.44","$0","23"
"ABS","Alcohol Beverage Services","ABS 85 Wheaton","M","$25,085.55","$8.24","$0","12"
"POL","Department of Police","POL 47 FSB Traffic Division Automated Traffic Enforcement Section","F","$81,468.45","$0","$0","15"
"POL","Department of Police","POL 47 MSB Communications Division","F","$67,502.13","$14,292.72","$0","19"
"POL","Department of Police","POL 47 MSB Communications Division","F","$67,502.14","$7,985.04","$0","19"
"POL","Department of Police","POL 47 MSB Communications Division","F","$51,579.31","$240.78","$0","21"
"ABS","Alcohol Beverage Services","ABS 85 Downtown Rockville","M","$22,518","$0","$0","12"
"DOT","Department of Transportation","DOT 50 Transit Silver Spring Ride On","M","$65,983.39","$6,907.82","$0","T1"
"DOT","Department of Transportation","DOT 50 Transit Gaithersburg Ride On","F","$70,417.33","$19,103.91","$0","T1"
"DOT","Department of Transportation","DOT 50 Transit Silver Spring Ride On","F","$65,983.39","$9,499.39","$0","T1"
"DOT","Department of Transportation","DOT 50 Transit Silver Spring Ride On","M","$65,983.39","$25,031.53","$0","T1"
"DOT","Department of Transportation","DOT 50 Transit Gaithersburg Ride On","M","$70,417.33","$42,454.84","$0","T1"
"DOT","Department of Transportation","DOT 50 Transit Silver Spring Ride On","M","$65,983.39","$4,268.37","$0","T1"
"DOT","Department of Transportation","DOT 50 Transit Gaithersburg Ride On","M","$65,983.39","$18,842.76","$0","T1"
"ABS","Alcohol Beverage Services","ABS 85 Stock Liquor and Wine Warehouse Operations","M","$63,279.18","$1,903.06","$0","12"
"ABS","Alcohol Beverage Services","ABS 85 Beer Loading","M","$50,171.11","$3,668.89","$0","12"
"TBS","Department of Technology and Enterprise Business Solutions","TBS 34 CIO Change Management","M","$119,491.26","$0","$0","N27"
"OIG","Office of the Inspector General","OIG 06 Office of the Inspector General","M","$93,730","$0","$0","N28"
"HHS","Department of Health and Human Services","HHS 60 Aging & Disability Services Division","F","$114,358.05","$0","$0","24"
"CCL","County Council","CCL 01 Council Members and Staff","F","$74,583.79","$0","$0","N18"
"CEC","Community Engagement Cluster","CEC 16 Gilchrist Center","F","$89,308.93","$0","$0","N23"
"LIB","Department of Public Libraries","LIB 71 Human Resources and Staff Development","F","$137,474.75","$0","$0","M3"
"FIN","Department of Finance","FIN 32 Tax Operations","F","$110,864.05","$153.02","$0","23"
"REC","Department of Recreation","REC 72 Youth Development Youth Services","M","$90,647.99","$0","$0","N21"
"HHS","Department of Health and Human Services","HHS 60 Public Health Services Division","F","$95,458","$559.95","$0","18"
"HHS","Department of Health and Human Services","HHS 60 Behavioral Health and Crisis Services Division","F","$99,557.48","$0","$0","24"
"ABS","Alcohol Beverage Services","ABS 85 Beer Warehouse Operations","M","$56,488.61","$6,482.74","$0","12"
"HHS","Department of Health and Human Services","HHS 60 Office of Eligibility and Support Services","F","$61,344.41","$1,997.22","$0","17"
"COR","Correction and Rehabilitation","COR 42 DS MCCF Unit 2 Security","M","$55,713","$2,324.37","$0","C5"
"HHS","Department of Health and Human Services","HHS 60 Office of Eligibility and Support Services","F","$63,491.46","$1,179.68","$0","17"
"POL","Department of Police","POL 47 MSB Communications Division","F","$114,744.29","$80.98","$0","23"
"HHS","Department of Health and Human Services","HHS 60 Public Health Services Division","F","$95,498.22","$0","$0","24"
"HHS","Department of Health and Human Services","HHS 60 Office of Eligibility and Support Services","F","$66,998.47","$3,087.94","$0","17"
"CCL","County Council","CCL 01 Council Members and Staff","F","$63,654","$0","$0","N26"
"DOT","Department of Transportation","DOT 50 Highway Services","M","$53,900.06","$4,697.49","$0","15"
"HHS","Department of Health and Human Services","HHS 60 Office of Eligibility and Support Services","F","$56,992.99","$123.33","$0","20"
"ABS","Alcohol Beverage Services","ABS 85 Potomac","F","$38,779.59","$65.25","$0","12"
"DOT","Department of Transportation","DOT 50 Parking Management Financial Management","F","$104,991.02","$0","$0","23"
"HHS","Department of Health and Human Services","HHS 60 Office of Eligibility and Support Services","M","$93,538.98","$1,537.31","$0","20"
"HHS","Department of Health and Human Services","HHS 60 School Health Services","F","$95,498.22","$0","$0","24"
"COR","Correction and Rehabilitation","COR 42 MSD Management Services Division","M","$100,974.97","$0","$0","N28"
"HHS","Department of Health and Human Services","HHS 60 Public Health Services Division","F","$95,498.22","$404.33","$0","24"
"COR","Correction and Rehabilitation","COR 42 DS MCCF Unit 3 Security","M","$59,966","$54,098.61","$0","C3"
"PRO","Office of Procurement","PRO 35 Procurement Operations Section","F","$71,102.79","$0","$0","18"
"REC","Department of Recreation","REC 72 Special Programs","M","$76,878.67","$582.32","$0","14"
"NDA","Non-Departmental Account","NDA 99 MCERP","F","$114,817.67","$0","$0","N25"
"HHS","Department of Health and Human Services","HHS 60 Office of Eligibility and Support Services","F","$67,189.98","$23.53","$0","20"
"COR","Correction and Rehabilitation","COR 42 DS MCCF Unit 1 Security","M","$64,592","$34,551.15","$0","C4"
"COR","Correction and Rehabilitation","COR 42 DS Health Services","F","$93,182.69","$21,170.02","$0","21"
"CCL","County Council","CCL 01 Council Central Staff","F","$63,109.36","$837.56","$0","N17"
"DOT","Department of Transportation","DOT 50 Highway Services","M","$56,517.53","$8,470.5","$0","15"
"DEP","Department of Environmental Protection","DEP 80 Stewardship Programs","F","$96,767.3","$0","$0","23"
"CUS","Community Use of Public Facilities","CUS 70 Community Use of Public Facilities","F","$25,976.97","$215.13","$0","13"
"DOT","Department of Transportation","DOT 50 Transportation Technical Center","M","$78,408.22","$8,457.41","$0","14"
"DOT","Department of Transportation","DOT 50 Highway Services","M","$56,517.53","$6,588.68","$0","15"
"HHS","Department of Health and Human Services","HHS 60 Office of Eligibility and Support Services","F","$84,625.86","$226.8","$0","17"
"REC","Department of Recreation","REC 72 Facilities Division","F","$84,695.33","$433.95","$0","21"
"REC","Department of Recreation","REC 72 Youth Development Youth Services","M","$85,105.09","$0","$0","21"
"HHS","Department of Health and Human Services","HHS 60 School Health Services","F","$51,253.73","$0","$0","16"
"HHS","Department of Health and Human Services","HHS 60 School Health Services","F","$51,253.73","$37.92","$0","16"
"HHS","Department of Health and Human Services","HHS 60 School Health Services","F","$51,253.73","$0","$0","16"
"HHS","Department of Health and Human Services","HHS 60 School Health Services","F","$51,253.73","$0","$0","16"
"ABS","Alcohol Beverage Services","ABS 85 Beer Loading","M","$50,171.11","$4,728.78","$0","12"
"HHS","Department of Health and Human Services","HHS 60 School Health Services","F","$51,253.73","$0","$0","16"
"DEP","Department of Environmental Protection","DEP 80 Director","M","$237,000","$0","$0","EX1"
"DOT","Department of Transportation","DOT 50 Transit Silver Spring Ride On","M","$70,417.33","$18,070.58","$0","T1"
"DOT","Department of Transportation","DOT 50 Transit Silver Spring Ride On","M","$70,417.33","$19,613.93","$0","T1"
"DOT","Department of Transportation","DOT 50 Transit Nicholson Ride On","F","$70,417.33","$13,677.05","$0","T1"
"LIB","Department of Public Libraries","LIB 71 Davis Library","F","$79,023.76","$0","$0","21"
"DGS","Department of General Services","DGS 36 Central Duplicating","M","$55,639.51","$111.3","$0","11"
"DOT","Department of Transportation","DOT 50 Transportation Planning and Design Section","M","$86,631.94","$0","$0","16"
"HHS","Department of Health and Human Services","HHS 60 Public Health Services Division","M","$79,503.85","$917.38","$0","24"
"DOT","Department of Transportation","DOT 50 Highway Services","M","$50,912.21","$5,014.68","$0","12"
"OHR","Office of Human Resources","OHR 33 Talent Acquisition & Management","F","$86,060.62","$0","$0","N25"
"DOT","Department of Transportation","DOT 50 Director Management Services","F","$77,389.28","$0","$0","N17"
"POL","Department of Police","POL 47 MSB Training and Education Division","M","$28,289.4","$0","$0","10"
"ABS","Alcohol Beverage Services","ABS 85 Stock Liquor and Wine Warehouse Operations","M","$56,488.61","$5,323.36","$0","12"
"DOT","Department of Transportation","DOT 50 Highway Services","M","$104,312.99","$141.14","$0","N25"
"POL","Department of Police","POL 47 MSB Training and Education Division","F","$28,289.4","$0","$0","10"
"REC","Department of Recreation","REC 72 Countywide Programs","F","$91,795.43","$0","$0","21"
"DPS","Department of Permitting Services","DPS 75 Customer Support","M","$77,389.29","$0","$0","17"
"HHS","Department of Health and Human Services","HHS 60 School Health Services","F","$98,021.46","$0","$0","24"
